dataset,cycle,r2,rmse
Dihydrofolate,0,0.4549101337975703,0.8157664620380162
Dihydrofolate,1,0.43778653896903585,0.8418197814044822
Dihydrofolate,2,0.48422012557391025,0.8458595651550298
Dihydrofolate,3,0.5984516509299952,0.7905065486656082
Dihydrofolate,4,0.44238976083454096,0.8723003530385
Dihydrofolate,5,0.5558326365680262,0.7812600433153816
Dihydrofolate,6,0.527575279398042,0.772367113217625
Dihydrofolate,7,0.530884182028236,0.8181996100916906
Dihydrofolate,8,0.5340879930168925,0.7307833182843139
Dihydrofolate,9,0.5675762915030359,0.780328375618642
